Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,company_size
29.0,Male,United States,NY,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,some of them,some of them,No,No,No,No,Medium
31.0,Male,United States,NC,Yes,No,No,Never,1-5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,some of them,some of them,No,Unsure,Yes,No,Small
46.0,Male,United States,MA,No,No,Yes,Often,26-100,Yes,Yes,Yes,Yes,No,No,Maybe,Not sure,Maybe,No,some of them,Yes,No,Unsure,No,No,Medium
41.0,Male,United States,IA,No,No,Yes,Never,More than 1000,No,No,Maybe,No,No,Maybe,Maybe,Not sure,Maybe,No,No,No,No,Yes,Maybe,No,Large
33.0,Male,United States,CA,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Maybe,Maybe,Yes,Yes,Not sure,No,No,Yes,Yes,No,Yes,Maybe,No,Medium
35.0,Male,United States,TN,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,No,Maybe,No,Very easy,Yes,No,some of them,Yes,No,Yes,No,No,Large
33.0,Male,United States,TN,No,No,No,,1-5,No,Yes,Maybe,Maybe,No,Maybe,Maybe,Not sure,Maybe,Maybe,some of them,No,No,No,Maybe,No,Small
35.0,Female,United States,CA,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,Maybe,Maybe,Maybe,Not sure,No,No,Yes,Yes,Unsure,Unsure,Yes,No,Small
34.0,Male,United States,OH,No,No,Yes,Sometimes,26-100,Yes,Yes,Maybe,Maybe,No,Maybe,Maybe,Somewhat difficult,No,No,some of them,No,No,No,No,No,Medium
31.0,Male,United States,PA,Yes,Yes,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,Maybe,Somewhat difficult,Yes,No,No,No,No,No,No,Yes,Small
42.0,Male,United States,WA,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,some of them,some of them,Unsure,Yes,Maybe,No,Medium
40.0,Female,United States,WI,No,No,Yes,Sometimes,1-5,No,Yes,Yes,Yes,No,No,Maybe,Not sure,Maybe,No,some of them,No,No,Unsure,Yes,No,Small
27.0,Male,United States,NY,No,No,Yes,Rarely,6-25,No,Yes,No,Yes,No,No,Maybe,Very easy,No,No,Yes,Yes,Unsure,Unsure,Maybe,No,Small
50.0,Male,United States,IN,No,No,No,,100-500,No,Yes,Yes,Yes,No,Maybe,Maybe,Not sure,No,No,some of them,Yes,No,Unsure,Maybe,No,Medium
35.0,Male,United States,TX,No,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Unsure,Unsure,Yes,No,Large
35.0,Male,United States,MI,No,No,No,,More than 1000,Yes,Yes,Yes,Maybe,Maybe,Yes,Maybe,Somewhat difficult,Yes,Yes,some of them,No,No,Unsure,Maybe,No,Large
30.0,Male,United States,IN,No,No,Yes,Sometimes,26-100,No,Yes,Maybe,No,No,No,Maybe,Not sure,No,No,No,No,No,Unsure,Maybe,No,Medium
38.0,Female,United States,TX,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,some of them,Yes,No,No,Yes,No,Medium
34.0,Male,United States,TN,No,No,No,,6-25,No,Yes,No,No,No,No,Maybe,Not sure,No,No,Yes,Yes,Unsure,Yes,Maybe,No,Small
30.0,Male,United States,IL,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,No,Maybe,Maybe,Not sure,Maybe,No,some of them,Yes,No,No,Maybe,No,Medium
22.0,Male,United States,TX,No,Yes,Yes,Often,6-25,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,No,No,No,Unsure,Maybe,No,Small
33.0,Male,United States,UT,No,No,No,,100-500,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Not sure,No,No,some of them,Yes,Unsure,Unsure,Maybe,No,Medium
32.0,Male,United States,TN,No,No,No,Never,1-5,Yes,Yes,Maybe,Maybe,No,No,Maybe,Not sure,Maybe,No,some of them,Yes,No,No,Maybe,No,Small
27.0,Male,United States,NY,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Yes,No,No,Yes,Not sure,Maybe,No,No,No,No,No,Maybe,No,Medium
32.0,Nonbinary / Other,United States,TN,No,Yes,No,,6-25,Yes,Yes,Maybe,No,No,No,Maybe,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,Small
24.0,Male,United States,NY,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Maybe,No,No,No,Maybe,Not sure,No,Maybe,some of them,Yes,Yes,Yes,No,No,Medium
26.0,Male,United States,TN,No,No,No,,26-100,No,No,No,No,No,No,Yes,Somewhat easy,No,No,some of them,Yes,Unsure,Yes,Maybe,No,Medium
44.0,Male,United States,IA,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,No,No,Maybe,Maybe,Not sure,Yes,Maybe,some of them,No,No,Unsure,Maybe,Yes,Large
40.0,Male,United States,CA,No,Yes,No,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Not sure,Yes,Maybe,some of them,No,No,No,No,Yes,Large
36.0,Male,United States,TX,No,No,No,Sometimes,100-500,Yes,Yes,Yes,No,Maybe,Yes,Maybe,Not sure,Maybe,No,some of them,some of them,Unsure,Yes,Yes,No,Medium
31.0,Female,United States,NM,No,No,No,,26-100,Yes,No,Maybe,No,Maybe,Maybe,Maybe,Not sure,Maybe,No,some of them,No,No,Unsure,Maybe,No,Medium
34.0,Male,United States,NY,Yes,No,No,Rarely,1-5,Yes,Yes,No,No,No,No,Maybe,Not sure,Maybe,No,some of them,No,No,No,Maybe,No,Small
23.0,Nonbinary / Other,United States,MA,No,No,No,Rarely,More than 1000,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No,No,Large
33.0,Male,United States,CA,No,No,No,Never,More than 1000,No,Yes,Maybe,Maybe,Yes,Maybe,Maybe,Not sure,Maybe,No,some of them,some of them,No,Unsure,Yes,No,Large
25.0,Male,United States,WA,No,No,No,,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Not sure,No,No,Yes,Yes,Unsure,Yes,Yes,No,Large
31.0,Male,United States,WA,Yes,Yes,No,Sometimes,1-5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,Unsure,Unsure,Yes,No,Small
32.0,Male,United States,UT,No,Yes,Yes,Sometimes,26-100,Yes,Yes,No,No,No,No,Maybe,Somewhat difficult,Yes,No,some of them,No,No,Yes,No,No,Medium
38.0,Male,United States,NY,No,Yes,No,Sometimes,100-500,Yes,Yes,Yes,Yes,No,Yes,Maybe,Not sure,No,No,Yes,some of them,Unsure,Unsure,Yes,No,Medium
27.0,Female,United States,NY,Yes,No,Yes,Often,1-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,some of them,Yes,No,Unsure,Yes,No,Small
33.0,Male,United States,CA,No,Yes,No,Never,More than 1000,No,Yes,No,No,No,No,Maybe,Not sure,Yes,No,No,No,No,Unsure,No,No,Large
31.0,Male,United States,TX,No,No,No,,26-100,No,Yes,Maybe,Maybe,No,No,Maybe,Not sure,No,No,some of them,Yes,Unsure,Unsure,No,No,Medium
34.0,Female,United States,OR,No,Yes,Yes,Rarely,500-1000,Yes,Yes,Yes,Maybe,No,Maybe,Maybe,Not sure,Yes,Maybe,some of them,some of them,No,No,Maybe,No,Large
29.0,Female,United States,FL,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,Maybe,Not sure,Maybe,No,some of them,some of them,No,Unsure,No,Yes,Medium
32.0,Male,United States,IL,No,No,No,,500-1000,No,Yes,Maybe,No,No,Maybe,Maybe,Not sure,No,No,some of them,some of them,No,No,Maybe,No,Large
31.0,Male,United States,NY,No,No,No,Never,500-1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,some of them,Yes,No,No,Yes,No,Large
40.0,Male,United States,TX,No,No,Yes,Sometimes,26-100,No,Yes,No,Yes,No,No,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No,Medium
34.0,Male,United States,OH,No,No,No,,26-100,No,Yes,Maybe,No,No,No,Maybe,Somewhat easy,Maybe,No,some of them,No,No,Unsure,Maybe,No,Medium
29.0,Male,United States,MN,No,No,No,Never,26-100,No,Yes,Maybe,No,No,Maybe,Maybe,Not sure,No,No,Yes,Yes,Unsure,Unsure,No,No,Medium
24.0,Male,United States,MO,No,Yes,No,Rarely,26-100,No,Yes,Maybe,Maybe,No,Maybe,Maybe,Somewhat easy,Maybe,Maybe,some of them,No,No,Unsure,Maybe,No,Medium
33.0,Male,United States,AZ,No,No,Yes,Sometimes,6-25,No,Yes,No,Yes,No,No,Maybe,Somewhat easy,Maybe,No,some of them,No,No,Unsure,No,No,Small
30.0,Male,United States,IN,No,No,Yes,Often,1-5,No,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Unsure,Unsure,Yes,No,Small
44.0,Female,United States,MA,No,No,No,Never,100-500,No,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Not sure,Maybe,Maybe,No,some of them,No,No,Maybe,No,Medium
25.0,Male,United States,NY,No,Yes,No,,26-100,No,Yes,Maybe,No,Maybe,Maybe,Maybe,Very easy,No,No,some of them,Yes,No,No,Maybe,No,Medium
33.0,Male,United States,WI,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,some of them,Yes,Unsure,Unsure,Yes,No,Medium
29.0,Male,United States,NY,No,No,No,Never,More than 1000,No,Yes,Yes,Maybe,Yes,Maybe,Maybe,Somewhat easy,No,No,some of them,Yes,No,No,Maybe,No,Large
35.0,Male,United States,MO,No,Yes,No,Rarely,6-25,No,Yes,Yes,Maybe,No,No,Yes,Somewhat easy,No,No,some of them,Yes,No,No,Maybe,No,Small
35.0,Male,United States,OR,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Maybe,Maybe,No,No,Maybe,Somewhat easy,No,No,some of them,Yes,No,Unsure,No,No,Medium
34.0,Male,United States,TN,No,Yes,No,Never,6-25,Yes,Yes,Yes,No,No,No,Maybe,Not sure,Maybe,No,No,No,No,No,Maybe,No,Small
32.0,Male,United States,WA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat difficult,Maybe,No,some of them,Yes,No,Unsure,Yes,No,Medium
22.0,Male,United States,NY,No,No,Yes,Sometimes,500-1000,No,Yes,Yes,Yes,No,Maybe,Yes,Not sure,Yes,No,No,No,No,Yes,No,No,Large
28.0,Male,United States,CA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,some of them,some of them,No,Unsure,Yes,No,Medium
45.0,Male,United States,MO,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,Small
32.0,Male,United States,NY,No,No,No,Never,100-500,No,Yes,Yes,Yes,No,Maybe,Maybe,Not sure,Maybe,No,some of them,some of them,No,No,Maybe,No,Medium
28.0,Male,United States,TX,No,No,No,,More than 1000,No,Yes,Maybe,No,No,Maybe,Maybe,Not sure,Maybe,No,some of them,No,No,Unsure,Maybe,No,Large
18.0,Male,United States,CT,No,No,Yes,Rarely,1-5,Yes,Yes,No,No,No,No,Yes,Very easy,No,No,some of them,No,No,No,Maybe,No,Small
35.0,Male,United States,CO,No,No,No,,26-100,Yes,Yes,Maybe,Maybe,No,Maybe,Maybe,Not sure,No,No,some of them,Yes,Unsure,Unsure,Maybe,No,Medium
29.0,Male,United States,GA,No,No,No,Never,More than 1000,No,Yes,Yes,Yes,No,Yes,Maybe,Not sure,Yes,Yes,No,No,No,No,Maybe,No,Large
25.0,Male,United States,DC,No,No,No,,26-100,Yes,Yes,Maybe,No,No,No,Maybe,Very easy,No,No,some of them,Yes,No,No,Maybe,No,Medium
33.0,Male,United States,MN,No,Yes,Yes,Sometimes,6-25,Yes,Yes,Maybe,No,Maybe,Maybe,Yes,Very easy,No,No,Yes,Yes,No,Unsure,Yes,No,Small
36.0,Male,United States,WA,No,No,No,Often,6-25,No,Yes,Yes,No,No,No,Yes,Not sure,Maybe,No,No,No,No,No,Maybe,No,Small
27.0,Male,United States,WA,No,Yes,No,Never,500-1000,No,Yes,Yes,No,Yes,Yes,Yes,Not sure,Yes,No,some of them,No,No,Yes,Maybe,No,Large
32.0,Male,United States,OR,No,No,Yes,Rarely,100-500,No,Yes,Yes,Yes,No,Yes,Yes,Not sure,Yes,No,No,Yes,No,No,Maybe,No,Medium
33.0,Male,United States,IL,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,No,No,Maybe,Very easy,Maybe,No,Yes,some of them,No,Yes,No,No,Large
32.0,Male,United States,CA,No,No,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,Maybe,Very difficult,Maybe,No,Yes,some of them,No,Yes,Maybe,No,Small
27.0,Male,United States,NE,No,No,No,Never,26-100,No,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Not sure,No,No,Yes,Yes,Unsure,Unsure,Maybe,No,Medium
39.0,Male,United States,IA,No,No,Yes,Often,More than 1000,No,Yes,Yes,Maybe,No,No,Maybe,Somewhat easy,No,No,Yes,Yes,No,No,Maybe,No,Large
29.0,Female,United States,MD,No,No,No,,6-25,No,Yes,Maybe,No,No,Maybe,Maybe,Somewhat easy,Maybe,No,some of them,No,No,No,Maybe,No,Small
38.0,Male,United States,OR,No,Yes,Yes,Sometimes,100-500,No,Yes,Maybe,No,Maybe,Maybe,Maybe,Not sure,Maybe,No,some of them,Yes,No,No,Maybe,No,Medium
35.0,Male,United States,TX,No,No,No,Never,26-100,Yes,No,Maybe,Maybe,Maybe,Maybe,Maybe,Not sure,Yes,No,some of them,No,No,Unsure,Maybe,No,Medium
30.0,Female,United States,PA,No,Yes,No,,More than 1000,Yes,Yes,Maybe,Maybe,No,Maybe,Maybe,Not sure,Maybe,Maybe,some of them,some of them,No,Unsure,Maybe,No,Large
37.0,Male,United States,IN,No,Yes,Yes,Rarely,100-500,No,No,Yes,Yes,Yes,Yes,Maybe,Somewhat easy,Maybe,Maybe,some of them,Yes,Unsure,Unsure,Maybe,No,Medium
23.0,Male,United States,WV,No,No,No,Sometimes,6-25,No,No,No,No,No,No,No,Somewhat easy,Yes,Yes,No,No,No,No,No,No,Small
29.0,Female,United States,MI,No,No,No,,100-500,Yes,Yes,Maybe,Maybe,No,Maybe,Maybe,Not sure,Maybe,No,No,some of them,No,Unsure,Maybe,No,Medium
32.0,Male,United States,CA,No,Yes,No,Never,26-100,No,Yes,Maybe,Maybe,No,No,Maybe,Very easy,No,No,some of them,some of them,No,Unsure,No,No,Medium
36.0,Male,United States,IL,No,No,No,Never,6-25,No,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Not sure,No,No,some of them,some of them,Unsure,Unsure,Maybe,No,Small
25.0,Male,United States,IL,No,Yes,Yes,Sometimes,26-100,No,No,Maybe,No,No,Maybe,Maybe,Somewhat difficult,Maybe,No,some of them,some of them,No,Unsure,No,No,Medium
27.0,Male,United States,CA,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Maybe,No,No,Maybe,Maybe,Not sure,No,No,No,some of them,No,Unsure,Maybe,No,Large
26.0,Male,United States,OK,No,No,No,Often,26-100,No,No,Maybe,Maybe,No,No,Maybe,Not sure,Yes,Maybe,some of them,Yes,No,Unsure,No,No,Medium
27.0,Male,United States,UT,No,No,Yes,Rarely,26-100,Yes,Yes,No,Yes,No,No,Maybe,Somewhat difficult,Maybe,No,some of them,Yes,No,No,Maybe,Yes,Medium
25.0,Male,United States,IL,No,Yes,Yes,Sometimes,26-100,No,Yes,Maybe,Maybe,No,No,Maybe,Very easy,Maybe,No,some of them,No,No,No,Maybe,Yes,Medium
25.0,Female,United States,NY,No,Yes,Yes,Sometimes,500-1000,No,Yes,Yes,No,No,No,Maybe,Not sure,Yes,Yes,some of them,some of them,No,No,Maybe,No,Large
31.0,Male,United States,CA,No,No,No,Never,More than 1000,No,Yes,Yes,No,No,Yes,Maybe,Not sure,No,No,some of them,some of them,No,No,Maybe,No,Large
26.0,Male,United States,MA,No,Yes,No,Rarely,6-25,No,Yes,Maybe,No,No,No,Maybe,Not sure,Maybe,No,some of them,Yes,No,No,Maybe,No,Small
33.0,Female,United States,WA,Yes,Yes,Yes,Sometimes,1-5,No,Yes,No,Yes,Yes,Yes,Yes,Very difficult,No,No,some of them,Yes,No,Yes,Yes,No,Small
34.0,Male,United States,MN,No,No,No,Never,26-100,No,Yes,No,No,No,No,Maybe,Very easy,Maybe,No,some of them,some of them,No,Unsure,Maybe,No,Medium
42.0,Male,United States,CA,No,No,No,,6-25,No,Yes,No,Yes,No,No,Maybe,Very difficult,Maybe,No,Yes,Yes,No,Unsure,No,No,Small
23.0,Female,United States,NC,No,No,No,,6-25,No,Yes,Maybe,No,No,Maybe,Maybe,Not sure,Maybe,Maybe,some of them,Yes,No,Unsure,Yes,No,Small
31.0,Male,United States,MO,No,No,No,Never,26-100,No,Yes,Maybe,Maybe,No,Maybe,Maybe,Not sure,Maybe,No,No,some of them,No,Unsure,Maybe,No,Medium
32.0,Female,United States,MA,No,No,Yes,Often,6-25,Yes,Yes,Yes,Maybe,Maybe,Maybe,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,Yes,Small
45.0,Female,United States,CA,No,No,Yes,Sometimes,1-5,No,Yes,Yes,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,No,No,Yes,No,Small
33.0,Male,United States,TX,No,No,No,,6-25,Yes,Yes,Maybe,No,No,No,Maybe,Very easy,No,No,Yes,Yes,No,Unsure,Maybe,No,Small
45.0,Male,United States,CA,No,No,Yes,Sometimes,More than 1000,No,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Not sure,Yes,Yes,some of them,some of them,No,No,Maybe,No,Large
43.0,Male,United States,WA,No,Yes,Yes,Often,More than 1000,Yes,Yes,Yes,Maybe,No,Maybe,Maybe,Very difficult,Yes,Maybe,No,No,No,No,No,No,Large
37.0,Male,United States,MA,No,No,No,,500-1000,Yes,Yes,Yes,No,No,No,Maybe,Not sure,Yes,No,some of them,No,Unsure,Yes,No,No,Large
35.0,Female,United States,CA,No,Yes,Yes,Never,More than 1000,No,Yes,Yes,Maybe,Maybe,No,Yes,Somewhat easy,Maybe,No,No,No,No,No,Maybe,No,Large
28.0,Male,United States,MI,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,No,No,Maybe,Somewhat easy,Maybe,Maybe,some of them,No,No,Unsure,No,No,Medium
35.0,Male,United States,CA,No,No,Yes,Rarely,6-25,No,Yes,No,No,No,No,Yes,Not sure,No,No,some of them,Yes,No,No,Maybe,No,Small
35.0,Female,United States,NY,No,No,No,Never,500-1000,Yes,Yes,Maybe,Maybe,No,No,Maybe,Not sure,Maybe,Maybe,some of them,No,No,No,Maybe,No,Large
26.0,Male,United States,CA,No,No,No,Rarely,More than 1000,No,Yes,Yes,No,No,No,Yes,Somewhat easy,No,No,some of them,Yes,No,Unsure,No,No,Large
27.0,Male,United States,TN,No,Yes,No,,6-25,Yes,Yes,Yes,Yes,No,No,Maybe,Somewhat easy,Maybe,Maybe,some of them,some of them,No,Unsure,Yes,No,Small
27.0,Female,United States,OR,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,No,No,Maybe,Very easy,No,No,some of them,some of them,No,No,Yes,No,Medium
34.0,Female,United States,MN,No,No,Yes,Sometimes,500-1000,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,some of them,Yes,No,No,Yes,No,Large
41.0,Male,United States,FL,No,No,Yes,Often,6-25,Yes,Yes,No,Maybe,No,No,Maybe,Very difficult,Maybe,Maybe,some of them,some of them,Unsure,Unsure,Maybe,No,Small
30.0,Male,United States,MA,No,No,Yes,Often,26-100,No,Yes,No,Yes,No,No,Yes,Somewhat easy,Maybe,No,Yes,Yes,No,Unsure,Maybe,No,Medium
24.0,Male,United States,KS,No,No,No,Never,26-100,No,Yes,Maybe,Maybe,No,Maybe,Maybe,Not sure,No,No,some of them,Yes,No,No,Maybe,No,Medium
40.0,Female,United States,DC,No,No,No,,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,some of them,Yes,No,No,Yes,No,Medium
32.0,Female,United States,TX,No,Yes,Yes,Sometimes,6-25,No,Yes,Maybe,No,No,No,No,Not sure,Yes,Maybe,some of them,some of them,No,Unsure,No,Yes,Small
32.0,Female,United States,MA,No,No,Yes,Sometimes,100-500,No,No,Yes,Yes,Maybe,Maybe,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,No,Medium
27.0,Female,United States,MI,Yes,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,Maybe,Maybe,Maybe,Very difficult,No,No,some of them,No,No,No,Maybe,No,Small
29.0,Female,United States,NY,No,No,Yes,Never,500-1000,No,No,Yes,No,No,Maybe,Maybe,Somewhat difficult,Maybe,No,some of them,No,No,No,Maybe,No,Large
41.0,Nonbinary / Other,United States,VA,No,No,No,,26-100,No,Yes,Yes,Maybe,No,No,Maybe,Very easy,Yes,No,No,some of them,No,No,Maybe,No,Medium
34.0,Female,United States,WA,No,No,No,,6-25,No,Yes,Yes,No,No,No,Maybe,Somewhat easy,No,No,Yes,Yes,Unsure,Unsure,Yes,No,Small
28.0,Male,United States,PA,No,No,No,Rarely,6-25,No,Yes,Maybe,No,No,No,Maybe,Not sure,No,No,some of them,some of them,No,Unsure,Maybe,No,Small
28.0,Male,United States,MI,No,No,Yes,Sometimes,More than 1000,No,Yes,No,Yes,No,No,Yes,Very difficult,Yes,No,No,some of them,No,No,No,No,Large
23.0,Male,United States,PA,No,No,No,Never,26-100,No,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Not sure,No,No,No,Yes,No,Yes,Yes,No,Medium
24.0,Male,United States,OR,No,No,No,,1-5,No,Yes,Maybe,No,Maybe,No,Yes,Very easy,No,No,Yes,Yes,Unsure,Yes,Yes,No,Small
32.0,Male,United States,WA,No,No,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,Maybe,Very difficult,No,No,some of them,Yes,No,Unsure,Yes,No,Small
24.0,Male,United States,PA,No,No,No,Never,6-25,No,Yes,Yes,Maybe,No,Maybe,Maybe,Very easy,Maybe,No,some of them,No,Unsure,Unsure,Yes,No,Small
36.0,Male,United States,OH,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,No,Yes,Maybe,Not sure,Maybe,No,some of them,some of them,No,Unsure,Maybe,Yes,Medium
41.0,Male,United States,TX,No,No,Yes,Rarely,500-1000,Yes,Yes,Yes,Yes,No,Maybe,Maybe,Not sure,Maybe,Maybe,some of them,No,Unsure,Unsure,No,No,Large
38.0,Male,United States,NH,No,No,No,Sometimes,26-100,Yes,Yes,Maybe,Maybe,No,Maybe,Maybe,Not sure,Maybe,Maybe,some of them,Yes,No,Unsure,No,No,Medium
37.0,Female,United States,NC,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,some of them,some of them,No,Unsure,Yes,No,Large
34.0,Male,United States,FL,No,Yes,Yes,Sometimes,1-5,No,Yes,No,No,No,No,Maybe,Somewhat difficult,Maybe,No,some of them,some of them,No,Unsure,No,Yes,Small
33.0,Male,United States,CA,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,some of them,Yes,No,No,Maybe,No,Medium
27.0,Male,United States,GA,No,No,No,Never,More than 1000,Yes,Yes,Yes,Yes,Maybe,Maybe,Yes,Somewhat easy,No,No,some of them,Yes,Unsure,Unsure,Yes,No,Large
40.0,Male,United States,OH,No,No,Yes,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,Maybe,No,No,No,Unsure,No,Yes,Large
21.0,Male,United States,KY,No,No,Yes,Often,6-25,No,No,Maybe,No,No,Maybe,Maybe,Not sure,Maybe,No,No,No,No,Unsure,Maybe,No,Small
32.0,Male,United States,NC,No,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,No,No,Maybe,Not sure,Maybe,No,Yes,Yes,No,Yes,Maybe,No,Small
29.0,Female,United States,NY,No,Yes,Yes,Rarely,500-1000,Yes,No,Yes,Yes,Yes,Maybe,Yes,Not sure,Maybe,No,some of them,No,Unsure,Yes,Maybe,No,Large
23.0,Male,United States,AL,No,Yes,Yes,Sometimes,26-100,Yes,No,Maybe,No,No,Maybe,Yes,Somewhat easy,Maybe,No,some of them,some of them,No,Yes,Yes,No,Medium
28.0,Male,United States,GA,No,Yes,No,,100-500,No,Yes,Yes,No,No,Maybe,Yes,Somewhat easy,No,No,some of them,Yes,No,Unsure,Yes,Yes,Medium
